,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
14,707131,585,M5,206.65,209.0,206.5,208.25,722270,,,,,,,{},{},2019-10-29 10:25:00.000000,2019-11-01 16:56:54.319497,2019-11-01 10:03:16.763686,80.0420168067227,80.7851498808479
15,707132,585,M5,208.25,211.0,207.4,210.1,1033305,,,,,,,{},{},2019-10-29 10:30:00.000000,2019-11-01 16:56:54.323808,2019-11-01 10:03:16.763743,86.51162790697673,80.76663779013865
16,707133,585,M5,210.1,210.2,208.1,208.25,498236,,,,,,,{},{},2019-10-29 10:35:00.000000,2019-11-01 16:56:54.327744,2019-11-01 10:03:16.763800,77.90697674418605,81.48687381929518
17,707134,585,M5,208.3,210.6,208.0,209.85,658651,,,,,,,{},{},2019-10-29 10:40:00.000000,2019-11-01 16:56:54.332111,2019-11-01 10:03:16.763858,84.74576271186439,83.0547891210091
18,707135,585,M5,209.85,210.0,208.7,208.9,332539,,,,,,,{},{},2019-10-29 10:45:00.000000,2019-11-01 16:56:54.336739,2019-11-01 10:03:16.763920,80.14527845036324,80.93267263547125
19,707136,585,M5,208.95,209.45,208.2,208.5,338895,,,,,,,{},{},2019-10-29 10:50:00.000000,2019-11-01 16:56:54.341245,2019-11-01 10:03:16.763982,78.20823244552058,81.03309120258275
20,707137,585,M5,208.4,212.95,207.7,212.2,1440562,,,,,,,{},{},2019-10-29 10:55:00.000000,2019-11-01 16:56:54.345654,2019-11-01 10:03:16.764040,96.12590799031472,84.8264729620662
21,707138,585,M5,212.25,215.6,212.0,214.7,1976514,,,,,,,{},{},2019-10-29 11:00:00.000000,2019-11-01 16:56:54.350474,2019-11-01 10:03:16.764097,96.1290322580645,90.15439089796662
22,707139,585,M5,214.7,215.0,212.65,213.15,686720,,,,,,,{},{},2019-10-29 11:05:00.000000,2019-11-01 16:56:54.356945,2019-11-01 10:03:16.764154,89.23076923076928,93.82856982638286
23,707140,585,M5,213.15,216.5,212.6,215.7,1170331,,,,,,,{},{},2019-10-29 11:10:00.000000,2019-11-01 16:56:54.362625,2019-11-01 10:03:16.764211,96.46017699115039,93.93999282666141
24,707141,585,M5,215.55,216.3,215.55,215.7,593339,,,,,,,{},{},2019-10-29 11:15:00.000000,2019-11-01 16:56:54.371313,2019-11-01 10:03:16.764268,94.99999999999993,93.56364874063989
25,707142,585,M5,215.7,216.2,215.1,215.6,607514,,,,,,,{},{},2019-10-29 11:20:00.000000,2019-11-01 16:56:54.375970,2019-11-01 10:03:16.764325,91.38755980861238,94.28257893325424
26,707143,585,M5,215.6,215.75,213.9,215.1,417793,,,,,,,{},{},2019-10-29 11:25:00.000000,2019-11-01 16:56:54.380269,2019-11-01 10:03:16.764382,86.60287081339706,90.99681020733648
27,707144,585,M5,215.0,215.65,213.6,214.05,519011,,,,,,,{},{},2019-10-29 11:30:00.000000,2019-11-01 16:56:54.385942,2019-11-01 10:03:16.764439,75.50000000000011,84.49681020733654
